ID,MINORITY,UNINSURED,HOMELESS,MIGRANT,IMMUNIZATION,EHR_IMMUNIZATION,IMMUNIZATION_PRED,IMMUNIZATION_DIFF,Recalculated Predicted,A-P ,Quartile Rank,A-P (Model),Quartile Rank (Model),,,,,
011230,3.629579376,11.64696612,0.330969267,0.598896769,16.66666667,0,19.21186411,-2.545197441,19.21186411,-2.545197441,3,-2.545197441,3,,,,,
011260,96.85299856,17.52190959,2.998154982,2.980857934,42.92035398,1,35.71002902,7.210324961,35.71002902,7.210324961,2,7.210324961,2,,,,,
011270,93.10335476,27.94151992,0.625904993,0.037367462,52.87878788,1,34.666255,18.21253288,34.666255,18.21253288,1,18.21253288,1,,,,,
011280,94.23382945,5.972482802,3.009693558,5.268918074,50,1,35.97875352,14.02124648,35.97875352,14.02124648,1,14.02124648,1,,,,,
011430,85.80439982,10.04032057,2.563592016,2.603414804,58.79310345,1,34.53994876,24.25315469,34.53994876,24.25315469,1,24.25315469,1,,,,,
011460,75.17210519,17.18027036,0.883055614,0.096773218,55.94262295,1,32.92162862,23.02099433,32.92162862,23.02099433,1,23.02099433,1,,,,,
0115570,4.879196737,6.230676166,2.681812072,0.967872026,61.9047619,1,26.2290532,35.6757087,26.2290532,35.6757087,1,35.6757087,1,,,,,
011580,30.53047776,12.37992239,4.822189707,1.641325784,35.02538071,1,28.89900946,6.126371254,28.89900946,6.126371254,2,6.126371254,2,,,,,
011640,33.99913157,2.445335748,1.647474878,0.125070082,43.75,1,28.89086001,14.85913999,28.89086001,14.85913999,1,14.85913999,1,,,,,
011820,34.88389457,10.44210089,1.466742861,0.135071952,53.26315789,1,28.97991393,24.28324397,28.97991393,24.28324397,1,24.28324397,1,,,,,
011830,92.67316688,24.2037178,2.945972388,2.239373845,37.25490196,1,35.12985692,2.125045039,35.12985692,2.125045039,2,2.125045039,2,,,,,
011890,91.48365056,26.49615998,6.69468193,0.166642516,27.61904762,1,34.53712637,-6.918078747,34.53712637,-6.918078747,3,-6.918078747,3,,,,,
011930,67.21759056,3.922195334,0.808182275,17.84850007,81.99233716,1,36.21907867,45.77325849,36.21907867,45.77325849,1,45.77325849,1,,,,,
011990,88.54342166,14.4233028,4.669955368,2.001409443,51.27272727,1,34.67025085,16.60247642,34.67025085,16.60247642,1,16.60247642,1,,,,,
012010,97.93914246,12.62872015,0.995813059,0,37.77777778,1,35.13185127,2.64592651,35.13185127,2.64592651,2,2.64592651,2,,,,,
012070,94.20556921,17.90220421,2.989612364,0.876615151,19.62025316,1,34.96710301,-15.34684984,34.96710301,-15.34684984,4,-15.34684984,4,,,,,
012080,76.27294457,10.62331948,2.512833048,0.43314593,63.37332392,1,33.10683514,30.26648878,33.10683514,30.26648878,1,30.26648878,1,,,,,
012120,43.49800468,13.30243735,6.642636457,1.510470306,40.4494382,1,30.14050023,10.30893797,30.14050023,10.30893797,2,10.30893797,2,,,,,
012160,93.42012667,13.27660306,5.100567303,0.240673887,27.45341615,1,34.74401445,-7.290598297,34.74401445,-7.290598297,3,-7.290598297,3,,,,,
012230,13.37913804,3.21569538,4.144416067,2.252147667,56.57894737,1,27.35751433,29.22143304,27.35751433,29.22143304,1,29.22143304,1,,,,,
012410,86.68204501,13.13417236,6.284022123,0.927579149,83.38870432,1,34.24108034,49.14762398,34.24108034,49.14762398,1,49.14762398,1,,,,,
013240,4.469820555,9.037149356,0.252716705,0.379075057,30.90909091,1,26.053669,4.855421909,26.053669,4.855421909,2,4.855421909,2,,,,,
013370,79.64671604,16.97988427,0.655828052,0,63.58381503,1,33.33816418,30.24565085,33.33816418,30.24565085,1,30.24565085,1,,,,,
013600,27.23654755,4.898105113,0.595876534,0.202598022,76.92307692,1,28.24555385,48.67752308,28.24555385,48.67752308,1,48.67752308,1,,,,,
013840,16.58759596,0.916765346,0.932044769,0.492761374,53.43283582,1,27.26800575,26.16483007,27.26800575,26.16483007,1,26.16483007,1,,,,,
013900,53.132168,14.72947302,11.00401041,0.791528882,23.28767123,1,30.92005483,-7.632383599,30.92005483,-7.632383599,3,-7.632383599,3,,,,,
013970,3.148281663,4.454192678,1.332883415,0.123727574,30,0,19.05552701,10.94447299,19.05552701,10.94447299,1,10.94447299,1,,,,,
014580,7.097157306,6.870652721,3.073667413,0.320896429,54.66472303,1,26.29793264,28.36679039,26.29793264,28.36679039,1,28.36679039,1,,,,,
015110,3.343308224,9.386526888,1.320132013,0.203843914,34.11764706,1,25.90295811,8.214688949,25.90295811,8.214688949,2,8.214688949,2,,,,,
015160,36.37954101,10.85176471,10.36235294,0.32,29.12621359,1,29.16904804,-0.042834447,29.16904804,-0.042834447,2,-0.042834447,2,,,,,
015170,3.8571189,11.07344633,2.453591606,0.225988701,12.72727273,0,19.14852157,-6.421248838,19.14852157,-6.421248838,3,-6.421248838,3,,,,,
019980,14.21515218,9.10319323,4.636939051,0.590285186,41.2244898,1,27.05777326,14.16671653,27.05777326,14.16671653,1,14.16671653,1,,,,,
01E00010,76.79049034,18.05997428,1.550125228,0.101536587,81,1,33.08141554,47.91858446,33.08141554,47.91858446,1,47.91858446,1,,,,,
01E00011,90.27473863,42.64147961,0.869427758,3.738539361,50,1,35.2390232,14.7609768,35.2390232,14.7609768,1,14.7609768,1,,,,,
01E00040,46.712526,3.114730676,5.729389913,0.571510216,56.36363636,0,23.43012663,32.93350973,23.43012663,32.93350973,1,32.93350973,1,,,,,
01E00051,3.616225683,4.353631398,0.117337649,0.165891159,26.08695652,1,25.92100191,0.165954611,25.92100191,0.165954611,2,0.165954611,2,,,,,
01E00069,6.589940324,4.903025601,0.884406517,1.854150504,51.44927536,1,26.60037393,24.84890143,26.60037393,24.84890143,1,24.84890143,1,,,,,
01E00089,89.97441898,8.929177372,0.940423675,0.043627902,49.16666667,1,34.3608812,14.80578546,34.3608812,14.80578546,1,14.80578546,1,,,,,
01E00090,94.98730672,7.845537033,1.071956109,0.620384047,32,1,34.98490288,-2.984902884,34.98490288,-2.984902884,3,-2.984902884,3,,,,,
01E01028,64.89958202,33.4961218,36.88595231,1.426793067,13.86138614,1,32.21983902,-18.35845289,32.21983902,-18.35845289,4,-18.35845289,4,,,,,
01E01077,3.453090097,5.722334004,0.185110664,0,25,0,19.05699608,5.943003921,19.05699608,5.943003921,2,5.943003921,2,,,,,
01E01113,1.885548523,3.170572917,0.501302083,0.110677083,51.35135135,1,25.7386159,25.61273545,25.7386159,25.61273545,1,25.61273545,1,,,,,
01E01166,95.24567336,11.63781625,1.145139814,0.97647581,36.08247423,1,35.09202899,0.990445235,35.09202899,0.990445235,2,0.990445235,2,,,,,
01E01168,97.82405553,6.82383759,0.1702685,0,30,0,28.31066088,1.689339123,28.31066088,1.689339123,2,1.689339123,2,,,,,
01E01210,64.37959725,20.44439482,6.638008039,1.613443502,48.38709677,1,32.21172348,16.1753733,32.21172348,16.1753733,1,16.1753733,1,,,,,
01E01212,41.05021598,8.876925003,3.868786779,0.582196069,31.61764706,1,29.6872615,1.930385563,29.6872615,1.930385563,2,1.930385563,2,,,,,
020010,64.7019299,2.517073858,10.71956629,0.528057453,48.65591398,1,31.99402509,16.66188889,31.99402509,16.66188889,1,16.66188889,1,,,,,
020020,93.21167883,36.53707332,88.43972363,0.752810147,19.27710843,1,34.84120873,-15.5641003,34.84120873,-15.5641003,4,-15.5641003,4,,,,,
020070,95.45908477,20.54072246,4.554633161,0.06730985,30.92105263,1,34.90412664,-3.983074005,34.90412664,-3.983074005,3,-3.983074005,3,,,,,
020110,78.81828317,7.800450825,1.121129434,0,33.5078534,1,33.25693114,0.250922263,33.25693114,0.250922263,2,0.250922263,2,,,,,
020150,98.84794093,2.138628986,0,0.534657247,34.83870968,1,35.34377146,-0.505061784,35.34377146,-0.505061784,2,-0.505061784,2,,,,,
020160,77.75822855,20.53039576,12.87637699,0.330477356,30.63063063,1,33.22889434,-2.598263708,33.22889434,-2.598263708,3,-2.598263708,3,,,,,
020180,14.84738571,6.701985894,0.185263432,4.638086261,38.22714681,1,28.04951763,10.17762919,28.04951763,10.17762919,2,10.17762919,2,,,,,
020390,98.70425321,12.57157292,1.473560121,0.092623779,44.79166667,1,35.22815017,9.563516497,35.22815017,9.563516497,2,9.563516497,2,,,,,
020490,86.09039052,7.363920751,3.628779979,1.620437956,48.2078853,1,34.34220944,13.86567586,34.34220944,13.86567586,1,13.86567586,1,,,,,
020500,97.47187203,25.43197376,0.453434879,1.96781933,27.08618331,1,35.53802599,-8.451842677,35.53802599,-8.451842677,3,-8.451842677,3,,,,,
020560,55.96528581,3.384446985,5.477858895,0.012705114,7.12945591,1,31.01896975,-23.88951384,31.01896975,-23.88951384,4,-23.88951384,4,,,,,
020620,73.49005211,6.485695709,1.620843396,0.476035668,32.38095238,1,32.84380654,-0.462854164,32.84380654,-0.462854164,2,-0.462854164,2,,,,,
020650,99.98749941,3.940625,5.4421875,1.33125,12.05098494,1,35.63848377,-23.58749883,35.63848377,-23.58749883,4,-23.58749883,4,,,,,
020660,99.91637398,5.835830836,0.041625042,24.6003996,28.22580645,1,40.97626066,-12.75045421,40.97626066,-12.75045421,3,-12.75045421,3,,,,,
020670,99.86772487,6.555619692,0.305104313,1.187433001,1.986754967,1,35.59370542,-33.60695046,35.59370542,-33.60695046,4,-33.60695046,4,,,,,
020680,99.68830494,3.31657424,4.99536068,0.99475649,6.727272727,1,35.53185581,-28.80458308,35.53185581,-28.80458308,4,-28.80458308,4,,,,,
020700,98.61156132,11.30743953,0.339384798,3.076011421,6.711409396,1,35.90432318,-29.19291378,35.90432318,-29.19291378,4,-29.19291378,4,,,,,
020710,97.04967155,53.02426244,23.19170748,0.011390819,31.72413793,1,35.04724945,-3.323111524,35.04724945,-3.323111524,3,-3.323111524,3,,,,,
020730,99.33019031,4.764088746,0.028664794,1.321446999,22.58823529,1,35.57177881,-12.98354352,35.57177881,-12.98354352,4,-12.98354352,4,,,,,
020800,99.0427303,5.125793557,27.05149306,0,55.88235294,1,35.24006497,20.64228797,35.24006497,20.64228797,1,20.64228797,1,,,,,
020870,3.022697121,1.394196014,0.165238046,0,30.38869258,1,25.82469874,4.563993835,25.82469874,4.563993835,2,4.563993835,2,,,,,
020890,99.92598806,6.700547688,0.009868259,2.654561603,31.34920635,1,35.93640706,-4.587200709,35.93640706,-4.587200709,3,-4.587200709,3,,,,,
020910,99.45126894,3.486435031,0.053545931,0.047596383,24.26470588,1,35.29105729,-11.0263514,35.29105729,-11.0263514,3,-11.0263514,3,,,,,
020930,79.2651509,28.82770377,0.182366001,4.404535363,23.51097179,1,34.31243845,-10.80146666,34.31243845,-10.80146666,3,-10.80146666,3,,,,,
021030,96.20194226,5.093637933,0,0.059768894,55.88235294,1,34.97523637,20.90711657,34.97523637,20.90711657,1,20.90711657,1,,,,,
021040,99.81858083,7.340898456,4.129620964,1.330720636,29.94923858,1,35.62179865,-5.672560071,35.62179865,-5.672560071,3,-5.672560071,3,,,,,
021080,98.43652283,18.88310097,0.183851693,0,68.81188119,1,35.18062253,33.63125866,35.18062253,33.63125866,1,33.63125866,1,,,,,
021200,90.78617927,10.04313001,4.651879236,3.773875539,51.61290323,0,28.48738423,23.125519,28.48738423,23.125519,1,23.125519,1,,,,,
021210,16.38061361,2.78700267,0,0,0.086393089,1,27.1345262,-27.04813311,27.1345262,-27.04813311,4,-27.04813311,4,,,,,
021230,94.36987766,41.85635098,0.566104493,1.816251916,58.82352941,1,35.19904208,23.62448733,35.19904208,23.62448733,1,23.62448733,1,,,,,
021240,8.692897867,5.940323022,0.218998084,0.431152477,39.53488372,1,26.47973,13.05515372,26.47973,13.05515372,1,13.05515372,1,,,,,
021250,100,4.042750929,0,0,96.91358025,1,35.33393127,61.57964898,35.33393127,61.57964898,1,61.57964898,1,,,,,
021260,99.76477968,4.673043751,0.308399979,1.656996498,14.48275862,1,35.69146626,-21.20870763,35.69146626,-21.20870763,4,-21.20870763,4,,,,,
021270,73.40312547,21.39545963,13.71090386,17.30948935,18.18181818,1,36.70180238,-18.5199842,36.70180238,-18.5199842,4,-18.5199842,4,,,,,
021280,87.94256766,14.60838084,0.316105152,0.162105206,38.32752613,1,34.1888588,4.138667331,34.1888588,4.138667331,2,4.138667331,2,,,,,
021300,97.25066363,46.21409922,5.035434539,0,43.24324324,0,28.25443621,14.98880704,28.25443621,14.98880704,1,14.98880704,1,,,,,
0213350,86.04879385,52.56084515,8.863778194,1.419720068,72.93577982,1,34.29202722,38.6437526,34.29202722,38.6437526,1,38.6437526,1,,,,,
021390,96.86407282,8.211303731,0.010914449,0.294690121,81.10599078,1,35.09412209,46.0118687,35.09412209,46.0118687,1,46.0118687,1,,,,,
021400,99.93992448,0.042911088,0,0.025746653,6.741573034,1,35.3339543,-28.59238127,35.3339543,-28.59238127,4,-28.59238127,4,,,,,
021500,83.46372451,11.71307017,2.213366363,0,26.58959538,1,33.71244579,-7.122850411,33.71244579,-7.122850411,3,-7.122850411,3,,,,,
021510,81.25962715,23.36480586,8.096871948,4.156961941,41.27134725,1,34.45114357,6.82020368,34.45114357,6.82020368,2,6.82020368,2,,,,,
021520,89.43169117,37.55140465,0.295628334,0.208095922,47.87644788,1,34.34544042,13.53100745,34.34544042,13.53100745,1,13.53100745,1,,,,,
021610,99.45072568,13.69607843,1.074509804,3.164705882,51.41955836,1,36.00698096,15.4125774,36.00698096,15.4125774,1,15.4125774,1,,,,,
0216220,59.68009971,21.83779762,0.744047619,0.361877706,28.4463895,1,31.4634329,-3.017043399,31.4634329,-3.017043399,3,-3.017043399,3,,,,,
021630,94.05677449,10.17827633,0.560869347,0.035054334,32.76450512,1,34.75921247,-1.994707349,34.75921247,-1.994707349,3,-1.994707349,3,,,,,
0217710,95.67451492,16.80157349,0.30259475,0.400938044,30.02915452,1,35.00188284,-4.972728317,35.00188284,-4.972728317,3,-4.972728317,3,,,,,
021790,4.06010103,2.436165285,0.226883845,0.165436137,43.80530973,1,25.96442216,17.84088758,25.96442216,17.84088758,1,17.84088758,1,,,,,
021830,72.8931318,5.476730988,0.297956867,0.156072645,31.79487179,1,32.71178163,-0.916909836,32.71178163,-0.916909836,2,-0.916909836,2,,,,,
021870,99.79806848,2.921308887,0.596543556,0.254408281,1.219512195,1,35.37256631,-34.15305412,35.37256631,-34.15305412,4,-34.15305412,4,,,,,
0218870,78.40529401,15.19214364,6.797740356,0.133670981,50,1,33.2471382,16.7528618,33.2471382,16.7528618,1,16.7528618,1,,,,,
0219440,5.803825804,2.386363636,0.166666667,1.71969697,40.51724138,1,26.49240749,14.02483388,26.49240749,14.02483388,1,14.02483388,1,,,,,
021960,99.50021075,3.952882546,0.509683996,0,10.95890411,1,35.2849238,-24.32601969,35.2849238,-24.32601969,4,-24.32601969,4,,,,,
021980,94.31932773,3.886134655,1.263393571,1.023508716,30,0,28.20209271,1.79790729,28.20209271,1.79790729,2,1.79790729,2,,,,,
022030,99.79296532,5.337653863,0.301536938,0.065257994,7.52688172,1,35.3286195,-27.80173778,35.3286195,-27.80173778,4,-27.80173778,4,,,,,
022070,88.0140784,5.906145349,2.00930718,0.66541991,15.92592593,1,34.31147853,-18.38555261,34.31147853,-18.38555261,4,-18.38555261,4,,,,,
022090,98.68473232,10.76638722,0,0.904350122,28.16901408,1,35.41268355,-7.243669463,35.41268355,-7.243669463,3,-7.243669463,3,,,,,
022110,97.31266552,11.76452477,0.929831583,0,34.85254692,1,35.07042128,-0.21787436,35.07042128,-0.21787436,2,-0.21787436,2,,,,,
022120,96.02101116,1.47297541,2.050141285,1.497023988,9.316770186,1,35.28762178,-25.9708516,35.28762178,-25.9708516,4,-25.9708516,4,,,,,
022230,99.66369352,3.938043399,1.074011836,0,48.96907216,1,35.30095431,13.66811785,35.30095431,13.66811785,1,13.66811785,1,,,,,
023480,80.50302748,19.92958399,15.94552024,0.194570555,70.37037037,1,33.4668223,36.90354807,33.4668223,36.90354807,1,36.90354807,1,,,,,
023600,99.67774395,17.93988129,0.113679877,0,50.47244094,1,35.30233204,15.1701089,35.30233204,15.1701089,1,15.1701089,1,,,,,
023710,73.18225506,9.994339454,0.806379535,0,12.54826255,1,32.70428325,-20.1560207,32.70428325,-20.1560207,4,-20.1560207,4,,,,,
024260,99.05129607,5.118334346,0.324177255,0,53.02325581,1,35.2409049,17.78235091,35.2409049,17.78235091,1,17.78235091,1,,,,,
024270,95.80007192,2.43687839,0,0,16.72425708,1,34.92210199,-18.19784491,34.92210199,-18.19784491,4,-18.19784491,4,,,,,
024490,94.22589532,47.43133784,0.036034907,0,47.3015873,1,34.76774411,12.5338432,34.76774411,12.5338432,1,12.5338432,1,,,,,
024690,82.98127426,4.587155963,1.724570111,0.215571264,4.47761194,1,33.71465364,-29.2370417,33.71465364,-29.2370417,4,-29.2370417,4,,,,,
025310,95.62022763,23.51443124,0.268817204,0,2,1,34.90446713,-32.90446713,34.90446713,-32.90446713,4,-32.90446713,4,,,,,
025320,95.25839659,14.55174519,1.302533835,0.071232319,6.875,1,34.88534886,-28.01034886,34.88534886,-28.01034886,4,-28.01034886,4,,,,,
025500,95.64601143,56.11379695,72.72963927,0.122722202,19.63677639,1,34.93518377,-15.29840738,34.93518377,-15.29840738,4,-15.29840738,4,,,,,
027000,95.08466725,20.97358424,0.42406573,0.013252054,33.21167883,1,34.85499598,-1.643317144,34.85499598,-1.643317144,2,-1.643317144,2,,,,,
027260,24.53765726,13.44433528,0.533895238,2.175655411,2.894593119,1,28.43410739,-25.53951427,28.43410739,-25.53951427,4,-25.53951427,4,,,,,
027670,59.28682424,37.6368192,1.022022946,1.562706053,40.11976048,1,31.70069114,8.419069338,31.70069114,8.419069338,2,8.419069338,2,,,,,
027710,80.58087045,19.03458572,36.80849299,0,43.63636364,1,33.42976387,10.20659976,33.42976387,10.20659976,2,10.20659976,2,,,,,
028210,56.80060366,38.79769299,0.558266785,25.88361432,31.74603175,0,30.23332859,1.512703158,30.23332859,1.512703158,2,1.512703158,2,,,,,
02E00026,22.16975756,14.9233004,0.001596246,0.012769965,8.523592085,1,27.70512123,-19.18152914,27.70512123,-19.18152914,4,-19.18152914,4,,,,,
02E00027,70.61654408,45.85572095,0.27305558,0.281863825,65.46391753,1,32.51744124,32.94647629,32.51744124,32.94647629,1,32.94647629,1,,,,,
02E00028,91.13177591,7.344512842,4.07556782,0.721715135,22.58064516,0,27.82021352,-5.239568361,27.82021352,-5.239568361,3,-5.239568361,3,,,,,
02E00091,92.86699145,19.24307036,0.071073205,0,72.09302326,1,34.63449506,37.45852819,34.63449506,37.45852819,1,37.45852819,1,,,,,
02E00103,99.52389049,7.5427859,3.003513544,0.11900714,11.86440678,1,35.31458081,-23.45017403,35.31458081,-23.45017403,4,-23.45017403,4,,,,,
02E00291,97.22631321,6.973573826,26.04865772,0.608221477,17.54385965,0,28.39175246,-10.84789281,28.39175246,-10.84789281,3,-10.84789281,3,,,,,
02E00340,16.96123147,23.18900344,0.206185567,0.178694158,35.06493506,1,27.23250415,7.832430919,27.23250415,7.832430919,2,7.832430919,2,,,,,
02E00487,4.495039956,1.4143768,0,0,0.661521499,1,25.96907119,-25.30754969,25.96907119,-25.30754969,4,-25.30754969,4,,,,,
02E00488,3.105828221,2.154730146,0.205212395,0.239414461,17.01030928,1,25.887842,-8.877532719,25.887842,-8.877532719,3,-8.877532719,3,,,,,
02E00509,21.24118477,1.56581741,1.167728238,0.159235669,54.20560748,1,27.64771093,26.55789655,27.64771093,26.55789655,1,26.55789655,1,,,,,
02E00510,9.826398092,2.90307763,0,0,3.647416413,1,26.49184428,-22.84442787,26.49184428,-22.84442787,4,-22.84442787,4,,,,,
02E00511,30.98520511,5.366389456,1.106229405,0.839479052,17.87709497,1,28.75942007,-10.8823251,28.75942007,-10.8823251,3,-10.8823251,3,,,,,
02E00868,95.61154349,20.95311168,0.000852515,0,51.84349135,1,34.9036156,16.93987575,34.9036156,16.93987575,1,16.93987575,1,,,,,
02E01074,86.1337967,6.260195759,4.029363785,0.603588907,37.79527559,1,34.112903,3.682372588,34.112903,3.682372588,2,3.682372588,2,,,,,
02E01108,94.62166484,37.69651881,0.147389107,0,82.49158249,1,34.80655179,47.6850307,34.80655179,47.6850307,1,47.6850307,1,,,,,
02E01143,96.37599449,7.657914222,0.193654952,0.082588141,45.16129032,1,34.99754469,10.16374563,34.99754469,10.16374563,2,10.16374563,2,,,,,
02E01157,74.90151941,1.839550332,6.0296372,0,22.47191011,1,32.8728679,-10.40095779,32.8728679,-10.40095779,3,-10.40095779,3,,,,,
02E01165,92.23886808,32.66883645,4.332790887,0,11.11111111,0,27.76299823,-16.65188712,27.76299823,-16.65188712,4,-16.65188712,4,,,,,
02E01268,99.65973167,1.244288908,0,0,24.13793103,1,35.30056583,-11.16263479,35.30056583,-11.16263479,3,-11.16263479,3,,,,,
02E01282,92.8972515,16.22909889,0.030264054,0.295074525,55.55555556,1,34.70523868,20.85031687,34.70523868,20.85031687,1,20.85031687,1,,,,,
02E01283,47.79975278,3.617069831,3.468735737,0.251026928,5.747126437,1,30.2730288,-24.52590236,30.2730288,-24.52590236,4,-24.52590236,4,,,,,
030130,97.70778107,19.40883728,0.060322727,1.417584075,26.47058824,1,35.43477339,-8.964185152,35.43477339,-8.964185152,3,-8.964185152,3,,,,,
030150,94.68299112,12.95191054,0.579680318,0,14.32160804,1,34.81256522,-20.49095717,34.81256522,-20.49095717,4,-20.49095717,4,,,,,
030220,3.002367011,9.362050164,0.381679389,0.021810251,6.711409396,1,25.8277149,-19.11630551,25.8277149,-19.11630551,4,-19.11630551,4,,,,,
030290,75.79112768,18.0223789,0.417412045,0.136798906,22.24576271,1,32.99152126,-10.74575855,32.99152126,-10.74575855,3,-10.74575855,3,,,,,
030340,73.70767813,14.65259696,1.814444292,0.183637111,24.55830389,1,32.79798436,-8.239680473,32.79798436,-8.239680473,3,-8.239680473,3,,,,,
030440,80.33919598,14.16115454,18.33032672,0.130286631,8.888888889,1,33.43599205,-24.54710316,33.43599205,-24.54710316,4,-24.54710316,4,,,,,
030480,4.472049689,6.331351438,0.176763619,0.514221437,6.12244898,1,26.0849297,-19.96248072,26.0849297,-19.96248072,4,-19.96248072,4,,,,,
030560,14.64809095,7.223223721,2.101075402,0.32324237,4.958677686,1,27.03888787,-22.08021018,27.03888787,-22.08021018,4,-22.08021018,4,,,,,
030700,54.35659808,15.93608385,0.650759219,7.959451043,20.37037037,1,32.68653647,-12.3161661,32.68653647,-12.3161661,3,-12.3161661,3,,,,,
030720,49.96387905,10.35634008,0.545418485,4.323681079,44.89795918,1,31.42069342,13.47726577,31.42069342,13.47726577,1,13.47726577,1,,,,,
030740,1.290917473,4.140559395,0.090433435,0.148569214,13.04347826,0,18.87910674,-5.835628484,18.87910674,-5.835628484,3,-5.835628484,3,,,,,
030750,79.64501898,21.25891897,1.446583912,0,10.34482759,1,33.33799777,-22.99317018,33.33799777,-22.99317018,4,-22.99317018,4,,,,,
030790,8.041289371,1.427775922,0.086869362,0.04900323,28.0155642,1,26.32805886,1.687505346,26.32805886,1.687505346,2,1.687505346,2,,,,,
030820,12.39498216,4.218610864,1.747551202,0,36.36363636,1,26.74371005,9.619926313,26.74371005,9.619926313,2,9.619926313,2,,,,,
030850,2.159191829,1.639344262,0.52882073,0.349021682,9.174311927,1,25.82019433,-16.6458824,25.82019433,-16.6458824,4,-16.6458824,4,,,,,
030880,6.292320756,10.18208517,9.151248164,0.091042584,21.04018913,1,26.16621765,-5.126028522,26.16621765,-5.126028522,3,-5.126028522,3,,,,,
